"tag","synonyms","mustInclude","domain","folder","active"
"Ohmic heating in brewing","ohmic heating,joule heating brewing,electroheating beverage,electrical resistance heating food,ohmic heating process","ohmic heating,brewing","Brewing & Process","Brewing & Process","true"
"Pasteurization alternatives (HPP, PEF, UHT)","high pressure processing beer,pulsed electric field beer,ultra high temperature UHT,non-thermal pasteurization,cold pasteurization beverage","beer,pasteurization","Brewing & Process","Brewing & Process","true"
"Filtration alternatives (crossflow, membrane)","crossflow filtration beer,membrane filtration beer,tangential flow filtration,kieselguhr alternative,ceramic membrane beer","beer,filtration","Brewing & Process","Brewing & Process","true"
"Bioprocess optimization: fed-batch, continuous","fed-batch fermentation optimization,continuous fermentation brewery,chemostat brewing,high gravity fermentation,immobilized cell reactor brewing","fermentation,optimization","Brewing & Process","Brewing & Process","true"
"Inline dissolved oxygen & CO2 sensing","inline DO sensor brewing,dissolved oxygen fermentation,CO2 sensor fermentation,optical oxygen sensor,online process monitoring brewing","dissolved oxygen,sensor","Brewing & Process","Brewing & Process","true"
"PAT – spectroscopy (NIR/Raman/FTIR)","NIR spectroscopy fermentation,Raman spectroscopy brewing,FTIR process monitoring,process analytical technology brewing,near infrared fermentation monitoring","spectroscopy,fermentation","Brewing & Process","Brewing & Process","true"
"Anomaly detection for batch processes","anomaly detection fermentation,time series process monitoring,multivariate statistical control,MSPC brewing,batch process anomaly detection","anomaly detection,process","Brewing & Process","Brewing & Process","true"
"Predictive maintenance for brewery equipment","predictive maintenance brewery,condition monitoring equipment,vibration analysis brewery,fault detection brewing,machine learning maintenance","predictive maintenance,brewery","Brewing & Process","Brewing & Process","true"
"Digital twins for breweries / process simulation","digital twin brewery,process simulation brewing,model predictive control brewery,CFD brewery,virtual brewery model","digital twin,brewery","Brewing & Process","Brewing & Process","true"
"Mycotoxin risk management (barley, malt)","deoxynivalenol DON barley,Fusarium graminearum malt,aflatoxin malt,mycotoxin brewing,ochratoxin barley,mycotoxin mitigation malt","mycotoxin,malt","Brewing & Process","Brewing & Process","true"
"Allergens & labeling in beverages","allergen labeling beverage,gluten labeling beer,food allergen regulation,beverage labeling requirements,precautionary allergen labeling","allergen,beverage","Brewing & Process","Brewing & Process","true"
"Alternative bittering (isomerized extracts)","isomerized hop extract,reduced iso-alpha acids,tetrahydro iso-alpha acids,hexahydro iso-alpha acids,hop products bittering","bitterness,beer","Brewing & Process","Brewing & Process","true"
"Sustainable hop cultivation impacts on aroma","hop terroir,hop variety aroma chemistry,sustainable hop farming,hop essential oils aroma,dry hopping aroma","hop,aroma","Brewing & Process","Brewing & Process","true"
"CO2/N2 dosing and carbonation control","carbonation control beer,CO2 dosing,nitrogen dosing beer,dissolved CO2 measurement,carbonation pressure control","carbonation,beer","Brewing & Process","Brewing & Process","true"
"Oxygen pickup reduction in packaging lines","oxygen pickup bottling,total package oxygen TPO,dissolved oxygen packaging line,low oxygen packaging,DO control bottling","oxygen,packaging","Brewing & Process","Brewing & Process","true"
"Nitrogenation & widget tech","nitrogenated beer,widget technology,nitrogen beer can,smooth draught beer,nitrogen dispense system","nitrogen,beer","Brewing & Process","Brewing & Process","true"
"Enzymatic removal of off-flavor precursors","aldehyde reduction enzyme beer,Strecker aldehyde removal,acetaldehyde enzyme reduction,ADH enzyme beer,off-flavor precursor enzyme","beer,off-flavor","Brewing & Process","Brewing & Process","true"
"NMR fingerprinting for authenticity / QC","NMR metabolomics beer,proton NMR fingerprinting beverage,beer authenticity NMR,geographical origin NMR,beverage adulteration NMR","NMR,authenticity","Brewing & Process","Brewing & Process","true"
"Biosensors for spoilage / contaminants","electrochemical biosensor food,optical biosensor spoilage,pathogen biosensor beverage,mycotoxin biosensor,food contaminant sensor","biosensor,detection","Brewing & Process","Brewing & Process","true"
"Rapid microbiology (ATP, flow cytometry)","ATP bioluminescence microbiology,flow cytometry microorganism detection,MALDI-TOF brewery,impedance microbiology,rapid microbial testing","rapid microbiology,detection","Brewing & Process","Brewing & Process","true"
"Alcohol harm reduction & public health","alcohol harm reduction,low-risk drinking,alcohol policy,alcohol health effects,responsible consumption alcohol","alcohol,harm reduction","Brewing & Process","Brewing & Process","true"
"Stress/anxiety biomarkers for product claims","cortisol biomarker,HRV heart rate variability,salivary amylase stress,anxiety biomarker beverage,stress response measurement","biomarker,stress","Brewing & Process","Brewing & Process","true"
"Non-conventional yeasts for aroma modulation","non-Saccharomyces yeast,Lachancea thermotolerans,Torulaspora delbrueckii,Pichia kluyveri,Hanseniaspora uvarum,aroma modulation yeast","yeast,aroma","Biotech Applied","Biotech Applied","true"
"Lactic acid bacteria in brewing (sour, stability)","lactic acid bacteria brewing,Lactobacillus brevis brewing,Pediococcus damnosus beer,sour beer LAB,bioprotection LAB,mixed fermentation LAB","lactic acid bacteria,beer","Biotech Applied","Biotech Applied","true"
"Enzymes for gluten reduction in beer","prolyl endopeptidase brewing,glutenase beer,gluten reduction enzyme,AN-PEP enzyme beer,celiac beer enzyme","gluten,enzyme","Biotech Applied","Biotech Applied","true"
"Enzymatic clarification / flocculants","enzymatic fining beer,protease clarification,beta-glucanase beer,papain fining,isinglass alternative enzyme,bentonite alternative","enzyme,clarification","Biotech Applied","Biotech Applied","true"
"Enzyme immobilization for industrial reuse","immobilized enzyme brewing,enzyme carrier support,biocatalyst immobilization,enzyme stability support,packed bed enzyme reactor","enzyme immobilization,biocatalyst","Biotech Applied","Biotech Applied","true"
"Biocatalysis for flavor/aroma synthesis","enzymatic ester synthesis aroma,lipase biocatalysis flavor,terpene enzymatic synthesis,aroma biocatalyst,whole-cell biocatalysis aroma","biocatalysis,aroma","Biotech Applied","Biotech Applied","true"
"Precision fermentation for functional ingredients","precision fermentation,microbial cell factory,heterologous protein production,fermentation-derived ingredient,synthetic biology food","precision fermentation,ingredient","Biotech Applied","Biotech Applied","true"
"CRISPR / strain engineering for brewing","CRISPR yeast brewing,genome editing Saccharomyces,gene editing fermentation,brewing strain improvement,CRISPR-Cas9 yeast","CRISPR,yeast","Biotech Applied","Biotech Applied","true"
"Metabolic engineering for CoQ10 production","CoQ10 biosynthesis yeast,ubiquinone metabolic engineering,isoprenoid pathway CoQ10,yeast CoQ10 production,decaprenyl biosynthesis","CoQ10,metabolic engineering","Biotech Applied","Biotech Applied","true"
"Yeast stress tolerance (ethanol, osmotic)","ethanol tolerance yeast,osmotic stress tolerance yeast,high gravity yeast,thermotolerant yeast,yeast robustness engineering","yeast,stress tolerance","Biotech Applied","Biotech Applied","true"
"Phage control in fermentation","bacteriophage fermentation,phage infection brewery,phage resistant strains,anti-phage strategy,bacteriophage contamination fermentation","bacteriophage,fermentation","Biotech Applied","Biotech Applied","true"
"Antimicrobial peptides / natural preservatives","bacteriocins,nisin food preservation,lacticin,antimicrobial peptides beverage,natural preservatives food","antimicrobial,beverage","Biotech Applied","Biotech Applied","true"
"Biotransformation of polyphenols (bioavailability)","polyphenol biotransformation gut,phenolic metabolites bioavailability,gut microbiota polyphenols,quercetin metabolism,bioavailability enhancement polyphenol","polyphenol,bioavailability","Biotech Applied","Biotech Applied","true"
"Cell-free systems for bioproduction","cell-free biosynthesis,in vitro biocatalysis,enzymatic cascade cell-free,cell-free protein synthesis,CFPS enzymatic","cell-free,biosynthesis","Biotech Applied","Biotech Applied","true"
"Microbial production of functional compounds","microbial GABA production,tryptophan metabolites fermentation,serotonin microbial synthesis,functional metabolites fermentation","microbial production,functional","Biotech Applied","Biotech Applied","true"
"GABA production via fermentation","GABA fermentation,Lactobacillus GABA,glutamate decarboxylase,gamma-aminobutyric acid production,fermented GABA beverage","GABA,fermentation","Biotech Applied","Biotech Applied","true"
"GABAA/GABAB receptor modulators from food","GABAA modulator food,GABAB agonist food,benzodiazepine site phytochemicals,food-derived anxiolytic,hop xanthohumol GABA receptor","GABA,receptor","Biotech Applied","Biotech Applied","true"
"Probiotics / postbiotics in beverages","probiotic beverage,postbiotic drink,paraprobiotics,heat-killed bacteria beverage,fermented beverage probiotic","probiotic,beverage","Biotech Applied","Biotech Applied","true"
"Gut-brain axis discoveries relevant to food","gut-brain axis food,microbiota-gut-brain,psychobiotics,vagus nerve microbiota,enteric nervous system food","gut-brain,microbiota","Biotech Applied","Biotech Applied","true"
"Sleep modulation via non-alcohol beverages","sleep beverage,melatonin alternative drink,relaxation drink sleep,L-theanine sleep,sleep quality functional drink,ashwagandha beverage","sleep,beverage","Biotech Applied","Biotech Applied","true"
"BSG valorization – dietary fiber & arabinoxylans","brewers spent grain fiber,arabinoxylan extraction BSG,dietary fiber BSG,ferulic acid BSG,soluble fiber extraction BSG","brewers spent grain,fiber","Byproducts & Circularity","Byproducts & Circularity","true"
"BSG valorization – protein hydrolysates & bioactive peptides","BSG protein hydrolysate,spent grain bioactive peptides,ACE inhibitory peptides BSG,antioxidant peptides BSG,enzymatic protein hydrolysis BSG","brewers spent grain,protein","Byproducts & Circularity","Byproducts & Circularity","true"
"BSG solid-state fermentation (SSF)","BSG solid-state fermentation,fungal SSF BSG,Aspergillus SSF spent grain,Rhizopus SSF BSG,SSF nutritional improvement BSG","Byproducts & Circularity,solid-state fermentation","Byproducts & Circularity","Byproducts & Circularity","true"
"BSG as substrate for lactic fermentation","BSG lactic fermentation,spent grain Lactobacillus,lactic acid BSG,fermented BSG,BSG probiotic fermentation","Byproducts & Circularity,fermentation","Byproducts & Circularity","Byproducts & Circularity","true"
"BSG extraction – green solvents (NADES, scCO2)","NADES extraction BSG,deep eutectic solvents BSG,subcritical water BSG,supercritical CO2 BSG,green extraction spent grain","Byproducts & Circularity,extraction","Byproducts & Circularity","Byproducts & Circularity","true"
"BSY valorization – yeast extract (umami)","brewer's spent yeast autolysis,yeast extract production,umami yeast extract,5-nucleotides yeast extract,yeast autolysate","spent yeast,extract","Byproducts & Circularity","Byproducts & Circularity","true"
"BSY beta-glucans & cell wall fractions","yeast beta-glucan extraction,yeast cell wall fractions,mannoprotein yeast,immunostimulant beta-glucan,yeast glucan spent","spent yeast,beta-glucan","Byproducts & Circularity","Byproducts & Circularity","true"
"BSY as source of vitamins / CoQ10 / bioactives","yeast B vitamins,yeast CoQ10,spent yeast bioactive compounds,yeast ergosterol,yeast selenium","spent yeast,bioactive","Byproducts & Circularity","Byproducts & Circularity","true"
"Spent hops / trub valorization","spent hops valorization,hop residue polyphenols,trub valorization,hot break reuse,spent hop extracts","spent hops,valorization","Byproducts & Circularity","Byproducts & Circularity","true"
"Brewery wastewater treatment (high COD)","brewery wastewater,high COD treatment,anaerobic digestion brewery,nutrient removal brewery effluent,UASB brewery","brewery,wastewater","Water & Environment","Water & Environment","true"
"Anaerobic digestion intensification","two-stage anaerobic digestion,thermal hydrolysis pretreatment,temperature-phased anaerobic digestion,high-rate anaerobic reactor,anaerobic digestion intensification","anaerobic digestion,industrial","Water & Environment","Water & Environment","true"
"Advanced oxidation for reuse (ozone, UV)","ozone AOP,UV H2O2 treatment,advanced oxidation process,Fenton reaction wastewater,photocatalysis wastewater","water reuse,treatment","Water & Environment","Water & Environment","true"
"Electrooxidation for wastewater polishing","electrooxidation wastewater,electrochemical oxidation,BDD electrode,boron-doped diamond electrode,electrochemical polishing wastewater","wastewater,electrochemical","Water & Environment","Water & Environment","true"
"Coagulation/flocculation optimization","coagulation optimization wastewater,flocculation industrial effluent,PAC coagulation,ferric chloride coagulation,jar test optimization","wastewater,coagulation","Water & Environment","Water & Environment","true"
"Ammonia stripping / air stripping","ammonia stripping wastewater,air stripping ammonium,nitrogen removal stripping,ammonia volatilization,packed tower stripping","ammonia,wastewater","Water & Environment","Water & Environment","true"
"Phosphorus removal – adsorption (La, Zr)","phosphate adsorption lanthanum,zirconium phosphate removal,iron oxide adsorption phosphate,modified biochar phosphate,phosphate ion exchange","phosphate,adsorption","Water & Environment","Water & Environment","true"
"Phosphorus removal – biological EBPR","enhanced biological phosphorus removal,EBPR,polyphosphate accumulating organisms,PAO luxury uptake,biological phosphorus EBPR","phosphorus,EBPR","Water & Environment","Water & Environment","true"
"Phosphorus removal – constructed wetland","constructed wetlands phosphorus,nature-based phosphorus treatment,subsurface flow wetland phosphorus,phytoremediation phosphorus","phosphorus,wastewater","Water & Environment","Water & Environment","true"
"Phosphorus removal – electrocoagulation","electrocoagulation phosphate removal,aluminum electrode phosphate,iron electrode phosphate,EC phosphorus removal","phosphate,electrocoagulation","Water & Environment","Water & Environment","true"
"Phosphorus removal – struvite precipitation","struvite precipitation,MgNH4PO4,magnesium ammonium phosphate,nutrient recovery struvite,struvite crystallization","phosphorus,struvite","Water & Environment","Water & Environment","true"
"Low-cost phosphorus test kits / monitoring","phosphate sensor low-cost,colorimetric phosphate test,online phosphate monitoring,portable phosphate analyzer,field phosphate measurement","phosphate,monitoring","Water & Environment","Water & Environment","true"
"Package plants / decentralized treatment","decentralized wastewater treatment,package plant,modular WWTP,containerized treatment plant,small-scale wastewater treatment","factory,wastewater","Water & Environment","Water & Environment","true"
"Sludge minimization and handling","sludge minimization,sludge dewatering,sludge management,biosolids handling,low-sludge process","sludge,wastewater","Water & Environment","Water & Environment","true"
"Membrane bioreactor (MBR) for industrial wastewater","MBR industrial wastewater,membrane bioreactor,submerged MBR,hollow fiber MBR,MBR fouling control","industrial water,MBR","Water & Environment","Water & Environment","true"
"Active packaging – antimicrobial films","antimicrobial packaging film,silver-free antimicrobial,natural antimicrobials packaging,chitosan antimicrobial film,essential oil packaging film","active packaging,antimicrobial","Materials & Packaging","Materials & Packaging","true"
"Active packaging – oxygen scavengers","oxygen scavenger packaging,antioxidant active packaging,iron-based oxygen scavenger,enzymatic oxygen scavenger,oxygen barrier active film","active packaging,oxygen","Materials & Packaging","Materials & Packaging","true"
"Smart packaging – RFID/NFC traceability","RFID packaging,NFC traceability,smart label,IoT packaging,digital product passport packaging","RFID,packaging","Materials & Packaging","Materials & Packaging","true"
"PEF – barrier properties (O2/CO2/H2O)","polyethylene furanoate barrier,PEF oxygen barrier,PEF CO2 barrier,PEF moisture barrier,PEF permeability","PEF,packaging","Materials & Packaging","Materials & Packaging","true"
"PEF – recyclability & end-of-life","PEF recycling,chemical recycling PEF,depolymerization PEF,PEF circular economy,PEF end-of-life","PEF,recycling","Materials & Packaging","Materials & Packaging","true"
"PLA compostability – industrial vs home","PLA compostability,industrial composting PLA,home composting PLA,PLA biodegradation,bioplastic compostability","PLA,compost","Materials & Packaging","Materials & Packaging","true"
"PBS blends for flexible packaging","polybutylene succinate PBS,PBS blend flexible,bio-based PBS,PBS biodegradable film,PBS flexible packaging","PBS,packaging","Materials & Packaging","Materials & Packaging","true"
"FDCA production routes (bio-based)","FDCA production,HMF oxidation FDCA,biobased FDCA,furandicarboxylic acid,HMF to FDCA catalyst","FDCA","Materials & Packaging","Materials & Packaging","true"
"Monomaterial packaging & design for recycling","monomaterial packaging,design for recycling,recyclability design,mono-material structure,packaging recyclability guideline","packaging,recyclability","Materials & Packaging","Materials & Packaging","true"
"Recyclability of multilayer packaging","multilayer packaging recycling,delamination multilayer,compatibilizer recycling,multilayer film recyclability","multilayer,recycling","Materials & Packaging","Materials & Packaging","true"
"Returnable packaging – durability & washability","returnable bottle durability,returnable packaging washing,abrasion resistance returnable,alkali resistance bottle,returnable loop","returnable,washing","Materials & Packaging","Materials & Packaging","true"
"rPET food-contact – EFSA assessments","recycled PET food contact,EFSA rPET process,challenge test decontamination,rPET decontamination efficiency,post-consumer recycled PET","recycled PET,food contact","Materials & Packaging","Materials & Packaging","true"
"Migration testing methods (food contact materials)","migration testing food contact,NIAS non-intentionally added substances,food contact compliance,specific migration limit,overall migration testing","migration,food contact","Materials & Packaging","Materials & Packaging","true"
"Nanomaterials / advanced carbon for electrochemical","nanomaterials electrochemical,carbon nanotubes electrode,graphene electrode,supercapacitor electrode,advanced carbon materials","carbon,electrochemical","Materials & Packaging","Materials & Packaging","true"
"Glass bottle lightstruck protection","lightstruck beer,3-methyl-2-butene-1-thiol MBT,glass bottle UV coating,lightstruck protection,UV-absorbing bottle coating","beer,lightstruck","Materials & Packaging","Materials & Packaging","true"
"Computer vision for defect detection","edge inference computer vision,defect detection bottling,fill level inspection CV,label inspection deep learning,automated visual inspection","bottling,vision","Analytics & Digital","Analytics & Digital","true"
"Data governance / data curation for industry","data curation industrial AI,MLOps manufacturing,data governance manufacturing,industrial data quality,AI data pipeline","industrial AI,data governance","Analytics & Digital","Analytics & Digital","true"
